var,name,class,type
bio1,mean_annual_temp,temp,abiotic
bio2,mean_diurnal_range,temp,abiotic
bio3,isothermality,temp,abiotic
bio4,temp_seasonality,temp,abiotic
bio5,max_temp_warmest,temp,abiotic
bio6,min_temp_coldest,temp,abiotic
bio7,temp_annual_range,temp,abiotic
bio8,mean_temp_wettest,temp,abiotic
bio9,mean_temp_driest,temp,abiotic
bio10,mean_temp_warmest,temp,abiotic
bio11,mean_temp_coldest,temp,abiotic
bio12,annual_precip,precip,abiotic
bio13,precip_wettest_month,precip,abiotic
bio14,precip_driest_month,precip,abiotic
bio15,precip_seasonality,precip,abiotic
bio16,precip_wettest_quarter,precip,abiotic
bio17,precip_driest_quarter,precip,abiotic
bio18,precip_warmest,precip,abiotic
bio19,precip_coldest,precip,abiotic